Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_60,MA_120,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,RSI,Stochastic,Returns
2024-04-29,35359.24982939571,35441.672323170525,35208.949987806336,35412.58203125,3692589,35014.565625,34778.47890625,35420.14453125,34914.81067708333,33654.54096679688,-110.95233337727404,-63.80216291118023,-47.15017046609381,35420.14453125,36914.100267667076,33926.188794832924,42.8746833364367,61.488741036510405,0.009816211558323129
2024-04-30,35431.96843025239,35747.11319598397,35349.54595306105,35538.6328125,5097163,35193.8875,34866.70234375,35378.0345703125,34966.957291666666,33699.11928710937,-67.07406293944223,-64.45654291683263,-2.6175200226095967,35378.0345703125,36803.900645090114,33952.16849553488,45.89169696295845,75.32934017277626,0.003559491401637027
2024-05-02,35252.582259110124,35504.69809977492,35233.18873290514,35407.73046875,3981801,35219.61171875,34979.677734375,35324.3498046875,35007.66126302083,33740.05914713542,-42.374476052944374,-60.040129544054984,17.66565349111061,35324.3498046875,36652.82066295503,33995.87894641997,44.95391728743899,73.12521792567762,-0.003683381531322083
2024-05-03,35781.05629882143,35800.44982527066,35364.09548016308,35378.640625,6246363,35361.1859375,35029.867578125,35296.7537109375,35030.15703125,33768.85444335938,-24.860605189700436,-53.00422467318408,28.143619483483647,35296.7537109375,36594.783649317455,33998.72377255754,47.63159690116025,79.93363796841597,-0.000821567588910388
2024-05-07,35950.752052533986,36236.80658673486,35950.752052533986,36198.01953125,4327481,35587.12109375,35227.61953125,35284.499609375,35073.175,33809.29449869792,54.50795971955813,-31.501787794635646,86.00974751419378,35284.499609375,36540.92323860372,34028.075980146285,55.9777648503652,98.47200482506182,0.023160271049843306
2024-05-08,36178.618883058596,36358.00897936966,36130.1350732448,36324.0703125,5577808,35769.41875,35391.9921875,35297.2296875,35120.44928385417,33853.213151041666,126.12546794226364,0.023663352744211608,126.10180458951943,35297.2296875,36591.723386021484,34002.73598897852,65.58483088725964,98.72393289951049,0.0034822562914300637
2024-05-09,36343.47009989201,36377.408772610695,35858.631918196545,35916.8125,4485528,35845.0546875,35519.47109375,35281.932421875,35153.03229166667,33892.50398763021,148.31092133108177,29.681114948411725,118.62980638267004,35281.932421875,36537.00563159528,34026.85921215471,65.23325054826951,82.80734960996261,-0.011211789014730855
2024-05-10,36227.10478780553,36353.162700611065,36023.47277481198,36101.046875,5938367,35983.71796875,35601.66484375,35287.1037109375,35188.047135416666,33934.80294596354,178.69929311626765,59.484750581982915,119.21454253428473,35287.1037109375,36555.37605310058,34018.83136877442,62.33032243851008,89.68425545474624,0.005129474532296063
2024-05-13,36202.86130552425,36290.13216443673,35873.17139407713,36033.16796875,5686980,36114.6234375,35737.9046875,35289.599609375,35214.985091145834,33976.73530273438,195.0565458041965,86.59910962642564,108.45743617777086,35289.599609375,36563.822808598314,34015.376410151686,70.71030661802575,82.81915675803924,-0.0018802475863104462
2024-05-14,36130.140345944674,36159.23063607829,35989.53727696556,36105.8984375,6314959,36096.19921875,35841.66015625,35313.215625,35250.95904947917,34016.606689453125,211.45105130551383,111.56949796224329,99.88155334327054,35313.215625,36631.04325134025,33995.387998659746,67.86797725852854,85.05571432046138,0.002018431152461364
2024-05-16,36721.638246333794,36799.2123435006,36421.03861981245,36450.12890625,6494830,36121.4109375,35945.41484375,35361.946875,35293.468424479164,34053.694173177086,249.34603117058577,139.1248046039118,110.22122656667398,35361.946875,36773.77066591815,33950.12308408185,71.0487471476475,83.59911597147956,0.0095339122870981
