N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
451,현대건설,반도체대세1등주,2분 전,"★ 현대건설: 5배 폭등: 이젠 장기간, 폭락 불가피!","★ 현대건설: 5배 폭등: 이젠 장기간, 폭락 불가피! 5배 폭등에 따른 폭락 시점: 너무 올라 고평가: 하락! ----------------------------------------------------------------------------------------------- ★ 반도체) 엔비디아 3일간 12% 폭등: 삼성전자 10% 폭등 전망: 매수 적기 AI수요 폭증: 반도체 제조업체만 폭등: 삼성전자 대박 1. 삼성전자: 자사주 3.6조 매입(2200만주): 대박: 매수 - 기간: 1월30~4월29: 보통주만 매수: 보통주 매수 유리 - 1일 100만주씩 매수: 지난번 자사주 매수시 급등 했음 2. 삼성전자: 26년 영업이익 245조: 목표가 30만원: 매수 - 엔비디아 영업이익 120조(시총 6600조): 세계 시총 1위 - 삼성전자 영업이익 245조(시총 981조): 70만원 적정가 3. 삼성전자: 엔비디아+AMD+구글 HBM 모두납품: 대박 - 엔비디아 HBM 신규 납품: 200조원 전망: 매출 폭발 - AMD+구글 HBM 납품: 100조원 전망: 폭등 청신호 반도체 D램 가격: 25년 7배 폭등: 26년 100% 또 오른다 반도체 수요급증, 반도체 없어서 못판다: 폭등 사유 충분 ★ 삼성전자: HBM+파운드리+휴대폰(3개업황): 다 좋다 목표가 30만원으로 본, 지금은 저가 매수 절호의 기회!",2026-02-11 13:43:02,"현대건설, 폭등, 이젠, 장기간, 폭락, 불가피, 폭등에, 따른, 폭락, 시점",27,8,71,38,긍정,0.33
452,HJ중공업,전은경,2분 전,상잡주,잡주중에. 최상위잡주구나,2026-02-11 13:43:02,"잡주중에, 최상위잡주구나",0,0,2,0,중립,0.0
453,아크릴,맹구친구영구,2분 전,풍악을 울려라아아아~~~~~,쏴리질러~~~~~^^,2026-02-11 13:43:02,쏴리질러,0,0,1,0,중립,0.0
454,아크릴,몽실통통통,2분 전,다음 타자 뉴로핏,대기 중,2026-02-11 13:43:02,대기,0,0,1,0,중립,0.0
455,다스코,232528,2분 전,이거 명박이 회사 아닌가?,허허허허허,2026-02-11 13:43:02,허허허허허,0,0,1,0,중립,0.0
456,아크릴,포카AAAAAAA,2분 전,따따따블~~~,따따블 따따블 ~~~~,2026-02-11 13:43:03,"따따블, 따따블",0,0,2,0,중립,0.0
457,대창,나는30푸로쩜상묵는상따다,2분 전,실적공시뜨자마자마자시장가로질러서vi만들엇다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이빠이먹고나가게이빠이처올려라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:43:03,이빠이먹고나가게이빠이처올려라,0,0,1,0,중립,0.0
458,제일바이오,조용하게하자,2분 전,전재산 몰빵 완료 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:43:03,,0,0,0,0,중립,0.0
459,티엑스알로보틱스,노숙,2분 전,고점에,물리고 손절하고 떠난다 그지같은거,2026-02-11 13:43:03,"물리고, 손절하고, 떠난다, 그지같은거",0,1,3,-2,부정,0.25
460,샌디스크,우주콩,2분 전,-17퍼,버티면 올까요? 아님 물을 어디쯤에서 탈까요? 고견 부탁드립니다,2026-02-11 13:43:03,"버티면, 올까요, 아님, 물을, 어디쯤에서, 탈까요, 고견, 부탁드립니다",0,0,8,0,중립,0.0
