N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
152,삼성전자,동천왕,1분 전,이상한 시장,코스피 -40까지 하락할 당시 종목들 수익 합계보다 지금 삼성전자 겨우 1% 정도 올랐을 뿐인데 지수는 60-70 상승으로 반전하였고 수익 합계는 오히려 줄었네요. 4천피 5천피가 될수록 시장은 갈수록 이상한 방향으로 가는건 분명한듯.,2026-02-11 13:41:48,"코스피, 까지, 하락할, 당시, 종목들, 수익, 합계보다, 지금, 삼성전자, 겨우",4,1,24,7,긍정,0.172
153,현대차,본죽,1분 전,로스컷 너무 대놓고 보여주는거 아니냐,ㅋㅋㅋㅋㅋ똑같은 자리에서 발악하네,2026-02-11 13:41:48,"똑같은, 자리에서, 발악하네",0,0,3,0,중립,0.0
154,삼표시멘트,kZd,1분 전,삼표시멘트 공매도 세력 리포트 떳네요,"아직도 모르고 있다면 기회 놓치고 있는겁니다. 삼표시멘트 주주방에서 진지하게 소통하고 있습니다. 광고,분탕 절대 오지마세요 https://journal94479.tistory.com/1?n=kBP",2026-02-11 13:41:49,"아직도, 모르고, 있다면, 기회, 놓치고, 있는겁니다, 삼표시멘트, 주주방에서, 진지하게, 소통하고",0,0,14,0,중립,0.0
155,롯데하이마트,kkkk111,1분 전,뭔 일이에요?,띠링하고 봤더니 본전 왔다가 내려갔네요. 미쵸... 다시 1만원 올까요? 제발요.,2026-02-11 13:41:49,"띠링하고, 봤더니, 본전, 왔다가, 내려갔네요, 미쵸, 다시, 만원, 올까요, 제발요",0,1,9,-2,부정,0.1
156,두산에너빌리티,Yejh01,1분 전,!,드디어 8자 보게되는가 ㆍㅎㅎ ㅎ,2026-02-11 13:41:49,"드디어, 보게되는가",0,0,2,0,중립,0.0
157,대호에이엘,bdbdiou,1분 전,종가에 살사람 ㅋ,수두룩 하고마이 ㅋ,2026-02-11 13:41:49,"수두룩, 하고마이",0,0,2,0,중립,0.0
158,플레이그램,jch9008,1분 전,태평양 심해바다냐?,너무하네 ㅋㅋ 걍 나와라 호흡기 멈췄다 ㅋㅋ,2026-02-11 13:41:49,"너무하네, 나와라, 호흡기, 멈췄다",0,0,4,0,중립,0.0
159,KODEX 200선물인버스2X,세이프,1분 전,700원에 산사람들,100% 올라야 본전이구먼 다들 자기 가격 인지는 하구이찌??,2026-02-11 13:41:49,"올라야, 본전이구먼, 다들, 자기, 가격, 인지는, 하구이찌",1,0,6,2,긍정,0.143
160,알테오젠,seve,1분 전,올해도 배당 주더라도.,회사 하는 꼬라지 보면 배당락이 더 큰 회사가 될꺼야.ㅋㅋㅋㅋㅋ 주주환원 같은 소리하고있네. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 드러웠다~ 간다~,2026-02-11 13:41:50,"회사, 하는, 꼬라지, 보면, 배당락이, 회사가, 될꺼야, 주주환원, 같은, 소리하고있네",1,0,11,2,긍정,0.083
161,카카오뱅크,apt2107,1분 전,자 이제 시작이야 ~~,3만 가즈아~~~^,2026-02-11 13:41:50,가즈아,1,0,0,2,긍정,1.0
162,LG전자,정직한급등추세안내자,1분 전,LG전자 //// 20퍼 가나????,참고 부탁드립니다 ^&^ 78899,2026-02-11 13:41:50,"참고, 부탁드립니다",0,0,2,0,중립,0.0
163,이노테크,신중한매매,1분 전,아크릴봐라,신규상장주는 테마붙으면 저리 가볍게 날라가는거다 이노는 뭐하니?? 언제까지 바닥에서 빌빌댈래??,2026-02-11 13:41:50,"신규상장주는, 테마붙으면, 저리, 가볍게, 날라가는거다, 이노는, 뭐하니, 언제까지, 바닥에서, 빌빌댈래",0,0,10,0,중립,0.0
164,알파벳 Class A,구글링,1분 전,현재만보면 미친 한국주식,하루세 상한가 30퍼 되는게 계속나오고 몇년동안 안오르던 전자 원전 쇼핑 차 금융까지 두달사이 폭등 . . . 하지만 장기투자는 미주식 .,2026-02-11 13:41:50,"하루세, 상한가, 되는게, 계속나오고, 몇년동안, 안오르던, 전자, 원전, 쇼핑, 금융까지",2,2,11,4,긍정,0.267
165,SK하이닉스,우리주,1분 전,이유가 있죠!! sk나쁜넘들,익절이다 익절 더럽다 진짜,2026-02-11 13:41:50,"익절이다, 익절, 더럽다, 진짜",0,0,4,0,중립,0.0
166,에코프로,깜뎅이,1분 전,왕창,사줄게 5만원오면 하하,2026-02-11 13:41:51,"사줄게, 만원오면, 하하",0,0,3,0,중립,0.0
167,삼표시멘트,0HP,1분 전,앞으로,삼표시멘트 주주방에서 이야기 되고 있는 내용이네요. 앞으로 영향이 클것같은데 참고하시고 판단에 도움되시길 https://journal94479.tistory.com/1?n=lIo,2026-02-11 13:41:51,"삼표시멘트, 주주방에서, 이야기, 되고, 있는, 내용이네요, 앞으로, 영향이, 클것같은데, 참고하시고",0,0,12,0,중립,0.0
168,우리기술투자,하쿠놔,1분 전,쏟아진다~~ㅋㅋㅋ,튀어이~~~잇,2026-02-11 13:41:51,튀어이,0,0,1,0,중립,0.0
169,두산에너빌리티,oiltank7,1분 전,서남해 해상풍력 이르면 2월말 입찰,8.000억 규모 경쟁 기업은 조그마한 규모의 회사와 경쟁입찰 수주 확를이 높구나,2026-02-11 13:41:51,"규모, 경쟁, 기업은, 조그마한, 규모의, 회사와, 경쟁입찰, 수주, 확를이, 높구나",0,0,10,0,중립,0.0
170,현대글로비스,자유자본주의대한민국만만만세,1분 전,의선,형님 현차 그룹 현차 주당 2~3주 현글이 주당 5주씩 무상증자 & 액면분할 갑시다요 네? 분명히 한두달만에 현 주가로 올라올겁니다 녜? 지금이 바로 절호의 기회 입니다,2026-02-11 13:41:51,"형님, 현차, 그룹, 현차, 주당, 현글이, 주당, 주씩, 무상증자, 액면분할",2,0,17,3,긍정,0.105
171,삼표시멘트,아씨발기훈이형,1분 전,으이그 내가 몇번을 말하냐,"내가 월욜에 팔라 했어? 안했어? 오전에 반짝 올랐다고 반등이네 뭐네 흥분들 하기는 ㅉㅉ 14,000원에서 입벌리고 대기하고 있을께~~",2026-02-11 13:41:51,"내가, 월욜에, 팔라, 했어, 안했어, 오전에, 반짝, 올랐다고, 반등이네, 뭐네",1,1,14,1,긍정,0.125
172,카카오페이,니애미애비쥴리두창,1분 전,찬티 여러분 고개드세요,찬티 여러분 고개드세요! 당신 오늘은 마이너스 아닙니다 고개드세요 찬티 여러분!!,2026-02-11 13:41:52,"찬티, 여러분, 고개드세요, 당신, 오늘은, 마이너스, 아닙니다, 고개드세요, 찬티, 여러분",2,0,8,4,긍정,0.2
173,키다리스튜디오,김은경,1분 전,뉴도 좀 데리고가시와요^^,쩝~~~~~~,2026-02-11 13:41:52,,0,0,0,0,중립,0.0
174,비츠로테크,러스티,1분 전,KB~,수십만주 남았어요~,2026-02-11 13:41:52,"수십만주, 남았어요",0,0,2,0,중립,0.0
175,알테오젠,거북이2023,1분 전,매출 영업이익에 적당한 배당이다.,현재 주가가 너무 높아 어쩔수없는 배당액이다... 실망하지만 영업이익 1100억 200억 배당이면 당기순이익은 1100억보다 낮을 거라 보면 .. 많이 주는것임.. 현재 주가가 너무 높아 어쩔 수 없음... 매출이 늘어나면 더 줄거라 생각함,2026-02-11 13:41:52,"현재, 주가가, 너무, 높아, 어쩔수없는, 배당액이다, 실망하지만, 영업이익, 배당이면, 당기순이익은",4,3,19,4,긍정,0.269
176,삼표시멘트,뿡듀,1분 전,기다리셈...,"아크릴에서 많이 벌어서 삼표 추매해줄께요,,, 목표는 만주 채우려고요,,,, 14,000 에... 추매예정,,,",2026-02-11 13:41:52,"아크릴에서, 많이, 벌어서, 삼표, 추매해줄께요, 목표는, 만주, 채우려고요, 추매예정",0,0,9,0,중립,0.0
177,네오이뮨텍,cappucino,1분 전,네오야..,"동전주가 전체 주식의 10% 라고 하니 한번 정리하고 가는 게 맞을 거 같긴 하다. 네오야, 너 여기서 이러고 있을 때가 아니야",2026-02-11 13:41:52,"동전주가, 전체, 주식의, 라고, 하니, 한번, 정리하고, 가는, 맞을, 같긴",0,1,15,-1,부정,0.062
178,스타플렉스,하와이에서,1분 전,세력 이 적같은 씩뻘한테 하고싶다,니 면상에 욕을 오지게 하고 싶다,2026-02-11 13:41:52,"면상에, 욕을, 오지게, 하고, 싶다",0,0,5,0,중립,0.0
179,모두투어,광신도들,1분 전,놀자형 가오가 있지 회사 먹어보자....,그럴려고 들어온거잖아 눈치 말고 시원하게 가자...,2026-02-11 13:41:53,"그럴려고, 들어온거잖아, 눈치, 말고, 시원하게, 가자",1,0,5,1,긍정,0.167
180,한세실업,qaws111,1분 전,쥴리가,한실에 미래다!!!!! 모두 외쳐!!!!! . 쥴리 어게인~~~~~~!!!!!!!!!!!,2026-02-11 13:41:53,"한실에, 미래다, 모두, 외쳐, 쥴리, 어게인",0,0,6,0,중립,0.0
181,삼성전자,강멘탈힌트계획가,1분 전,물량 뺏을려고 호가 막아논거야?,매도호가 1600억 누구야?,2026-02-11 13:41:53,"매도호가, 누구야",0,1,1,-1,부정,0.5
182,DSC인베스트먼트,가치,1분 전,퓨리오상AI 와 노타 AI로,곧 날아가보세,2026-02-11 13:41:53,날아가보세,0,0,1,0,중립,0.0
183,뉴로메카,손느린고니,1분 전,쫄리면,뒤지시든가 정마담~ 손님 안받아?,2026-02-11 13:41:53,"뒤지시든가, 정마담, 손님, 안받아",0,1,3,-1,부정,0.25
184,LG전자,감잡은매매대응선생,1분 전,"LG전자, 한주라도 보유하고 계신다면 이 흐름 꼭 보세요",`4`4`14` 지금이라도 중심 잡고 대응하세요. 두손놓고계시지마시고 아직 끝나지 않았습니다!!! 타점나왔죠? 반응 나왔죠??,2026-02-11 13:41:53,"지금이라도, 중심, 잡고, 대응하세요, 두손놓고계시지마시고, 아직, 끝나지, 않았습니다, 타점나왔죠, 반응",0,2,9,-2,부정,0.182
185,한화갤러리아,사람답게살자,1분 전,애들은 다 나가라,부모님 모시고 오든지 세벳돈 받으면 다시와라.,2026-02-11 13:41:54,"부모님, 모시고, 오든지, 세벳돈, 받으면, 다시와라",0,0,6,0,중립,0.0
186,하이트진로,apt강남,1분 전,난 한주도 없다~다만 미래를 이야기 할뿐,으 잉 ~~ ㅋㅋㅋ,2026-02-11 13:41:54,,0,0,0,0,중립,0.0
187,SK,나르드르,1분 전,종가 33만,제곧내 ㅇㅈ,2026-02-11 13:41:54,제곧내,0,0,1,0,중립,0.0
188,세명전기,빅샷23,1분 전,언제가것노..,장기적으로는 우상향인거 같은데.. 급등 좋아하는 사람은 몬 기다리건노.. ㅎ,2026-02-11 13:41:54,"장기적으로는, 우상향인거, 같은데, 급등, 좋아하는, 사람은, 기다리건노",3,0,4,6,긍정,0.429
189,메디포스트,심장의칼,1분 전,유증찌라시,인가 와이러누,2026-02-11 13:41:54,"인가, 와이러누",0,0,2,0,중립,0.0
190,한국비엔씨,adfad,1분 전,이회사는 파이프라인이 도데체 몇개냐??ㅋㅋㅋ,파킨슨고친다고 하더니 이젠 릴리도 이긴다네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하나에 집중을해도모질란데,2026-02-11 13:41:54,"파킨슨고친다고, 하더니, 이젠, 릴리도, 이긴다네, 하나에, 집중을해도모질란데",0,0,7,0,중립,0.0
191,플루토스,플루토스관련주,1분 전,리더스 때부터 쳐물린 오래된 주주로서..,핀텔같은 거지종목은 나가세요 얘도 지금 무서운데,2026-02-11 13:41:54,"핀텔같은, 거지종목은, 나가세요, 얘도, 지금, 무서운데",0,1,5,-1,부정,0.167
192,스피어,늦잠이,1분 전,흐미 추락한다...,추락한다...,2026-02-11 13:41:55,추락한다,0,0,1,0,중립,0.0
193,LG전자,투자픽,1분 전,선탈출이 답,탈출! 탈출이 답입니다.,2026-02-11 13:41:55,"탈출, 탈출이, 답입니다",0,0,3,0,중립,0.0
194,글로벌에스엠,빛의속도,1분 전,지금 떨어지면 회복 불가능이다,완전 복구 불구능,2026-02-11 13:41:57,"완전, 복구, 불구능",0,0,3,0,중립,0.0
195,아크릴,파슈파티,1분 전,시총 10조면 주당 100만원?!,달나라 렛츠고!!,2026-02-11 13:41:57,"달나라, 렛츠고",0,0,2,0,중립,0.0
196,LG,Kospi5000,1분 전,오후에는 하락입니다. 괜히 기분만 설례였군..,기관 & 외국인 올리고 매도 실시..,2026-02-11 13:41:57,"기관, 외국인, 올리고, 매도, 실시",0,1,4,-1,부정,0.2
197,갤럭시아머니트리,선무당때려잡기,1분 전,투자 풍월: 상한가+10~20% 상승가능성,선무당의 주식 판타지 소설^^,2026-02-11 13:41:57,"선무당의, 주식, 판타지, 소설",0,0,4,0,중립,0.0
198,와이씨,재미있는주가계산쉐프,1분 전,달려라,위로 좀 올라가자,2026-02-11 13:41:58,"위로, 올라가자",1,0,1,2,긍정,0.5
199,현대차,월천대사ㅎ만세,1분 전,설레발 치지말고,관세 해결 되고 나서 큰소리로 치라고... 트럼프 관세는 가장 큰 리스크가 임...,2026-02-11 13:41:58,"관세, 해결, 되고, 나서, 큰소리로, 치라고, 트럼프, 관세는, 가장, 리스크가",0,1,9,-1,부정,0.1
200,DSR,donggagguli,1분 전,간만에 거래 좀 되는,오늘 5만주 만 넘기자,2026-02-11 13:41:58,"오늘, 만주, 넘기자",0,0,3,0,중립,0.0
201,노타,피리부는가시나,1분 전,앗싸 아크릴...,ㅋㅋㅋㅋ ㅋ,2026-02-11 13:41:58,,0,0,0,0,중립,0.0
202,삼성전자,쾌활한패턴관망가,1분 전,설 연휴전에 20만원 찍고 연휴기간 기분좋게 쉬고 올께요,주주 여러분 설 연휴전에 20만원 찍고 기분좋은 연휴되세요,2026-02-11 13:41:58,"주주, 여러분, 연휴전에, 만원, 찍고, 기분좋은, 연휴되세요",1,0,6,1,긍정,0.143
203,제이앤티씨,shgh,1분 전,초오옷 같네,쫌 가즈아 🔥🙌😎,2026-02-11 13:41:58,가즈아,1,0,0,2,긍정,1.0
204,SK하이닉스,갈매기사랑,1분 전,HBM4부터는 삼전이 주도권,공급도 그렇고 주가도 그렇고~~!,2026-02-11 13:41:59,"공급도, 그렇고, 주가도, 그렇고",0,0,4,0,중립,0.0
205,셀트리온,유연한주가추세용사,1분 전,모레 추가상장 하는데 악재아냐?,모레 추가상장하면 떨어질거같은데 형들 어떻게 생각해?,2026-02-11 13:41:59,"모레, 추가상장하면, 떨어질거같은데, 형들, 생각해",0,1,4,-2,부정,0.2
206,삼양바이오팜,발췌,1분 전,이번주 20먼원터치,투자는ㅏㄱ자의몫 단타금지ㅣ그간돌입,2026-02-11 13:41:59,"투자는, 자의몫, 단타금지, 그간돌입",0,0,4,0,중립,0.0
207,휴젤,방가방가1,1분 전,다들 2시부터 긴장하세요,"실적 나오니, 매도 버튼 준비도 하시고요. 하회 하면 대응하기 힘들게 던집니다 그냥 -10% 가격에 매도 쳐버림. 11월4일 있었던일",2026-02-11 13:41:59,"실적, 나오니, 매도, 버튼, 준비도, 하시고요, 하회, 하면, 대응하기, 힘들게",0,2,14,-2,부정,0.125
208,SK하이닉스,신중한익절나비,1분 전,삼전에 밀리는게 아니라..,삼전이 언론플레이 엄청하구... 닉스는 잠수함 마냥 언론공시자제중이니까요.. 이게 마치 삼전이 더 핫하게 보일수 있는거지요.. 다만 보이는게 다가 아니죠.. 주가가 안빠지는데 그 만한 이유가 있는것입니다..,2026-02-11 13:41:59,"삼전이, 언론플레이, 엄청하구, 닉스는, 잠수함, 마냥, 언론공시자제중이니까요, 이게, 마치, 삼전이",0,2,20,-2,부정,0.091
209,신풍제약,wes9999x,1분 전,기렉같은 회사의 잡주...!!,할말을 잃었다.,2026-02-11 13:41:59,"할말을, 잃었다",0,0,2,0,중립,0.0
210,지엔씨에너지,쿄콩,1분 전,뺄때 스텝이..,앞으로 1.5걷다가..뒤고 2걸음씩 빼네.. 가랑비에 옷 젖는 느낌으로 ㅎㅎㅎ,2026-02-11 13:41:59,"앞으로, 걷다가, 뒤고, 걸음씩, 빼네, 가랑비에, 젖는, 느낌으로",0,0,8,0,중립,0.0
211,현대바이오,바다꾼,1분 전,견,신한공견들 악의축이넹 피똥사길,2026-02-11 13:42:00,"신한공견들, 악의축이넹, 피똥사길",0,0,3,0,중립,0.0
212,파트론,자앗자앗,1분 전,신고가 너에겐 그림의 떡이다,도도리가 적격이어라,2026-02-11 13:42:00,"도도리가, 적격이어라",0,0,2,0,중립,0.0
213,엔투텍,고무통과드럼통,1분 전,어이,니친구 앱튼은 나가리인데 니는 왜오르노 마지막 불꽃이가 마,2026-02-11 13:42:00,"니친구, 앱튼은, 나가리인데, 니는, 왜오르노, 마지막, 불꽃이가",0,0,7,0,중립,0.0
214,현대차,사교적인매도히어로,1분 전,대박이긴한듯,".,.,.,.,...... 덕분에 감사합니다 .,.,.,.,......",2026-02-11 13:42:00,"덕분에, 감사합니다",0,0,2,0,중립,0.0
215,카카오페이,따뜻한시황가족,1분 전,물량 쌓아놓고…,저가매수하고 있는듯하네...,2026-02-11 13:42:00,"저가매수하고, 있는듯하네",1,0,1,1,긍정,0.5
216,아세아제지,진짜주주환원은,1분 전,쓰레기 탄거로 폭락하네. 피해액도 없다는데,회사전화하니 피해도 전무하다는덕 뉴스하나로 폭락하네,2026-02-11 13:42:01,"회사전화하니, 피해도, 전무하다는덕, 뉴스하나로, 폭락하네",0,2,3,-5,부정,0.4
217,씨엔플러스,Ric,1분 전,다른데 가서 놀아여 이거 시세 끝났다고 어제 이야기 해줌,이거 붙잡고 있어봐야 시세 안줘요 ㅋㅋㅋㅋ,2026-02-11 13:42:01,"이거, 붙잡고, 있어봐야, 시세, 안줘요",0,1,4,-1,부정,0.2
218,세미파이브,마이스터강,1분 전,이건 걔잡주여 이게 무슨 시총 구천억이냐,ㅋㅋㅋㅋㅋㅋ진짜 움직임보면 사면 잣되는구나 알지,2026-02-11 13:42:01,"진짜, 움직임보면, 사면, 잣되는구나, 알지",0,0,5,0,중립,0.0
219,글로벌에스엠,테리요미,1분 전,사요나라 ㅋㅋㅋㅋ 잣뎄다 진짜,끝 잘먹고갑니다 꺼억,2026-02-11 13:42:01,"잘먹고갑니다, 꺼억",1,0,1,1,긍정,0.5
220,브리지텍,신입,1분 전,예상보다,물량이 별로 없네요? 다들 만원 저 위를 보는건가요?ㅎ,2026-02-11 13:42:01,"물량이, 별로, 없네요, 다들, 만원, 위를, 보는건가요",0,1,6,-1,부정,0.143
221,센코,솔직한판단아이콘,1분 전,위에 매물 많긴한가봐 ㅋㅋ,바로 던져버리네 ㅋㅋ,2026-02-11 13:42:01,"바로, 던져버리네",0,0,2,0,중립,0.0
222,스맥,블랙호,1분 전,이번엔 며칠 빠질까요 ?????,이번에도 6천원 아래로 추락할까요? 아마 설전에 폭락 함 올듯... 그래야 미치거던여..,2026-02-11 13:42:01,"이번에도, 천원, 아래로, 추락할까요, 아마, 설전에, 폭락, 올듯, 그래야, 미치거던여",0,1,9,-3,부정,0.1
223,우리기술,흐뭇한종목시세번역가,1분 전,오늘 도움주셔서 감사합니다~!ㅎㅎ,:' 들어온지는 며칠 안됐지만.. 감사드립니다ㅎㅎ.. :',2026-02-11 13:42:02,"들어온지는, 며칠, 안됐지만, 감사드립니다",0,1,3,-1,부정,0.25
224,에이비엘바이오,마을촌장,1분 전,상한가로 간 놈은 굳건하게 지키고 있는데..,상한가 간다고 같이 갈 것처럼 하더니 요게 뭐야? 그릇이 너무 작다...,2026-02-11 13:42:02,"상한가, 간다고, 같이, 것처럼, 하더니, 요게, 뭐야, 그릇이, 너무, 작다",1,0,9,3,긍정,0.1
225,엘브이엠씨홀딩스,가보자주식,1분 전,내가 머라했냐 엘브는 4월부터다,이건 가망없는주다 1200원에 매수,2026-02-11 13:42:02,"이건, 가망없는주다, 원에, 매수",1,1,2,0,중립,0.5
226,SK하이닉스,주달맛집,1분 전,메릴린치야 너... 린치 한번 당해볼래~~!!!!!!!!!!!,"형이 손목아지 조심하랬지~~ ??? 공매 치려면, 이런 우량주는 건들지마라.. 몽아~~!!!!!1",2026-02-11 13:42:02,"형이, 손목아지, 조심하랬지, 공매, 치려면, 이런, 우량주는, 건들지마라, 몽아",0,1,8,-1,부정,0.111
227,현대차,수석팀장뽕브라,1분 전,반도체 소부장 조벙박을때 전고점 뚫자,3주 오르고 3주 조정 받았다 이제 올라가자 80넘어간다,2026-02-11 13:42:02,"오르고, 조정, 받았다, 이제, 올라가자, 넘어간다",1,1,4,1,긍정,0.333
228,이마트,대주거래자입니다,1분 전,혹시 이마트 코인인가요?,비트코인보다 핫하네요~,2026-02-11 13:42:02,"비트코인보다, 핫하네요",0,0,2,0,중립,0.0
229,LG전자,알바척살자,1분 전,진짜 더러워서 쥐꼬리만큼 먹고 간다,니가 그러니까 4위인거야. 망길만 남은거 아니냐?,2026-02-11 13:42:03,"니가, 그러니까, 위인거야, 망길만, 남은거, 아니냐",0,2,4,-4,부정,0.333
230,엘브이엠씨홀딩스,rlt,1분 전,‘60조 유령코인 사태’ 금융당국 감독 소홀·빗썸 내부통제 한계 드러나,"가상자산 거래소 빗썸의 60조원 규모 비트코인(BTC) 오지급 사태가 시스템 고도화 과정에서 발생한 기본적인 내부통제 부재 때문인 것으로 드러났다. 국회 정무위원회는 11일 긴급 현안질의를 열고 빗썸의 전산 시스템 취약성과 금융위원회·금융감독원 등 당국의 감독 소홀을 강하게 질타했다. 금융당국은 이번 사태를 계기로 거래소 등 가상자산 사업자에 금융회사 수준의 내부통제 의무를 부과하는 등 제도개선에 착수했다. 이날 현안질의 핵심은 빗썸의 내부통제 시스템이 왜 작동하지 않았느냐에 집중됐다. 이재원 빗썸 대표는 “거래소 운영 시스템 고도화 과정에서 기존에 탑재됐던 다중결제 시스템이 누락된 채 사고가 발생했다”며 “이벤트 설계 시 지급 한도 계정을 분리하지 못한 점도 인정한다”고 말했다. 앞서 지난 6일 발생한 사고로 오지급된 물량은 62만 BTC로, 당시 시세 기준 약 60조 원에 달한다. 빗썸이 실제 보유한 비트코인(약 4만2000개)의 15배에 달하는 ‘유령코인’이 장부상 발행된 셈이다. 더불어민주당 박상혁 의원의 “이론상 1000만 BTC도 오지급될 수 있었느냐”는 질의에 이 대표는 “이론상 그렇다”고 답해 시스템적 방어선이 부실했음을 시인했다. 금융당국의 안일한 감독체계도 비판의 대상이 됐다. 빗썸은 지난 2024년 7월 가상자산이용자보호법 시행 이후 수차례 점검을 받았으나, 이번 사고의 단초가 된 내부통제 취약점은 사전에 걸러지지 않았다. 민주당 김남근 의원은 “업비트 등 다른 거래소는 5분 단위 실시간 대사 시스템을 운영 중인데 빗썸은 하루 단위로 확인하고 있었다”며 “금융당국이 이런 격차를 왜 방치했느냐”고 질타했다. 이에 이찬진 금융감독원장은 “현행법상 내부통제 기준에 대한 강제력이 없는 제도적인 한계가 있다”면서도 “빗썸에 대해 10일부터 현장검사로 전환해 자금세탁방지 의무 위반 등을 면밀히 점검 중”이라고 밝혔다. 정부는 이번 사태를 ‘가상자산 시장 신뢰를 무너뜨린 엄중한 사건’으로 규정하고 고강도 제도 개선안을 내놨다. 권대영 금융위원회 부위원장은 업무보고를 통해 “금융사에 준하는 내부통제기준 마련을 의무화하고, 전산 사고 발생 시 거래소에 무과실 손해배상 책임을 부과하는 방안을 2단계 법안에 반영하겠다”고 보고했다. 주요 대책으로는 △외부 기관의 주기적인 가상자산 보유현황 점검 의무화 △실시간 자산 대사 시스템(POR) 도입 유도 △고액 거래 발생 시 이상거래탐지(STR) 체계 강화 등이 포함됐다. 특히 민주당 민병덕 의원 등이 지적한 ‘지급의무 확인제(POL)’ 등 기술적인 안전장치 도입도 적극 검토될 전망이다. 사후 수습도 난항이 예상된다. 빗썸은 현재 오지급된 62만 BTC 중 매도된 1788개(약 130억원 상당)를 아직 회수하지 못했다. 빗썸 측은 “미회수 물량은 회사 고유자산으로 우선 매입해 정합성을 맞췄다”고 설명했으나, 사고 직후 발생한 가격 급락(패닉셀)과 강제 청산 피해자들에 대한 구체적인 보상 범위 확정을 두고 진통이 이어질 전망이다.",2026-02-11 13:42:03,"가상자산, 거래소, 빗썸의, 조원, 규모, 비트코인, 오지급, 사태가, 시스템, 고도화",4,22,278,-27,부정,0.086
231,파미셀,오늘도개털이군,1분 전,선행스펜 빠저 나온다,그때는 늦으리 ㅋㅋㅋㅋ,2026-02-11 13:42:03,"그때는, 늦으리",0,0,2,0,중립,0.0
232,키다리스튜디오,김은경,2분 전,뉴도 좀 데리고가시와요^^,쩝~~~~~~,2026-02-11 13:42:08,,0,0,0,0,중립,0.0
233,비츠로테크,러스티,2분 전,KB~,수십만주 남았어요~,2026-02-11 13:42:08,"수십만주, 남았어요",0,0,2,0,중립,0.0
234,알테오젠,거북이2023,2분 전,매출 영업이익에 적당한 배당이다.,현재 주가가 너무 높아 어쩔수없는 배당액이다... 실망하지만 영업이익 1100억 200억 배당이면 당기순이익은 1100억보다 낮을 거라 보면 .. 많이 주는것임.. 현재 주가가 너무 높아 어쩔 수 없음... 매출이 늘어나면 더 줄거라 생각함,2026-02-11 13:42:08,"현재, 주가가, 너무, 높아, 어쩔수없는, 배당액이다, 실망하지만, 영업이익, 배당이면, 당기순이익은",4,3,19,4,긍정,0.269
235,삼표시멘트,뿡듀,2분 전,기다리셈...,"아크릴에서 많이 벌어서 삼표 추매해줄께요,,, 목표는 만주 채우려고요,,,, 14,000 에... 추매예정,,,",2026-02-11 13:42:08,"아크릴에서, 많이, 벌어서, 삼표, 추매해줄께요, 목표는, 만주, 채우려고요, 추매예정",0,0,9,0,중립,0.0
236,네오이뮨텍,cappucino,2분 전,네오야..,"동전주가 전체 주식의 10% 라고 하니 한번 정리하고 가는 게 맞을 거 같긴 하다. 네오야, 너 여기서 이러고 있을 때가 아니야",2026-02-11 13:42:09,"동전주가, 전체, 주식의, 라고, 하니, 한번, 정리하고, 가는, 맞을, 같긴",0,1,15,-1,부정,0.062
237,스타플렉스,하와이에서,2분 전,세력 이 적같은 씩뻘한테 하고싶다,니 면상에 욕을 오지게 하고 싶다,2026-02-11 13:42:09,"면상에, 욕을, 오지게, 하고, 싶다",0,0,5,0,중립,0.0
238,모두투어,광신도들,2분 전,놀자형 가오가 있지 회사 먹어보자....,그럴려고 들어온거잖아 눈치 말고 시원하게 가자...,2026-02-11 13:42:09,"그럴려고, 들어온거잖아, 눈치, 말고, 시원하게, 가자",1,0,5,1,긍정,0.167
239,한세실업,qaws111,2분 전,쥴리가,한실에 미래다!!!!! 모두 외쳐!!!!! . 쥴리 어게인~~~~~~!!!!!!!!!!!,2026-02-11 13:42:09,"한실에, 미래다, 모두, 외쳐, 쥴리, 어게인",0,0,6,0,중립,0.0
240,삼성전자,강멘탈힌트계획가,2분 전,물량 뺏을려고 호가 막아논거야?,매도호가 1600억 누구야?,2026-02-11 13:42:09,"매도호가, 누구야",0,1,1,-1,부정,0.5
241,DSC인베스트먼트,가치,2분 전,퓨리오상AI 와 노타 AI로,곧 날아가보세,2026-02-11 13:42:09,날아가보세,0,0,1,0,중립,0.0
242,뉴로메카,손느린고니,2분 전,쫄리면,뒤지시든가 정마담~ 손님 안받아?,2026-02-11 13:42:09,"뒤지시든가, 정마담, 손님, 안받아",0,1,3,-1,부정,0.25
243,LG전자,감잡은매매대응선생,2분 전,"LG전자, 한주라도 보유하고 계신다면 이 흐름 꼭 보세요",`4`4`14` 지금이라도 중심 잡고 대응하세요. 두손놓고계시지마시고 아직 끝나지 않았습니다!!! 타점나왔죠? 반응 나왔죠??,2026-02-11 13:42:09,"지금이라도, 중심, 잡고, 대응하세요, 두손놓고계시지마시고, 아직, 끝나지, 않았습니다, 타점나왔죠, 반응",0,2,9,-2,부정,0.182
